,asw_ids,stop_platform
930,289_7,Kotlářka G
931,289_8,Kotlářka H
932,290_1,Kovárna A
933,290_2,Kovárna B
934,291_1,Liběchovská A
935,291_2,Liběchovská B
936,292_1,Kovošrot A
937,292_2,Kovošrot B
938,293_1,Třeboradický hřbitov A
939,294_1,Královice A
940,294_2,Královice B
941,296_1,Krčská A
942,296_2,Krčská B
943,297_1,Krčský hřbitov A
944,297_2,Krčský hřbitov B
945,299_1,Krematorium Strašnice A
946,299_2,Krematorium Strašnice B
947,300_1,Krocínka A
948,300_2,Krocínka B
949,301_1,Krymská A
950,301_2,Krymská B
951,302_1,Křížová A
952,302_2,Křížová B
953,302_3,Křížová C
954,302_4,Křížová D
955,303_1,Kublov A
956,303_2,Kublov B
957,304_1,Ovčí hájek A
958,304_2,Ovčí hájek B
959,305_1,Kuchyňka A
960,305_2,Kuchyňka B
961,306_1,Nemocnice Motol A
963,306_2,Nemocnice Motol B
965,306_3,Nemocnice Motol C
966,306_101,Nemocnice Motol
967,306_102,Nemocnice Motol
968,307_1,Na Proutcích A
969,307_2,Na Proutcích B
970,308_1,Divadlo Gong A
971,308_2,Divadlo Gong B
972,309_1,Kunratice A
973,309_2,Kunratice B
974,310_1,Kutnohorská A
976,310_2,Kutnohorská B
978,311_1,Kvasinská A
980,311_2,Kvasinská B
982,311_3,Kvasinská C
983,311_4,Kvasinská D
985,312_1,Květnová A
986,312_2,Květnová B
987,313_1,Kyje A
988,313_2,Kyje B
989,314_1,Kyselova A
990,314_2,Kyselova B
991,315_1,Lahovice A
993,315_2,Lahovice B
995,316_1,Lahovický most A
996,317_1,Lahovičky A
998,317_2,Lahovičky B
1000,318_1,Sídliště Jahodnice A
1001,318_2,Sídliště Jahodnice B
1002,319_1,Laurová A
1003,319_2,Laurová B
1004,319_3,Laurová C
1005,319_4,Laurová D
1006,319_11,Laurová A
1007,319_12,Laurová B
1008,320_1,Zentiva A
1009,320_2,Zentiva B
1010,321_1,Dejvická A
1011,321_2,Dejvická B
1012,321_3,Vítězné náměstí O
1013,321_4,Vítězné náměstí P
1014,321_5,Dejvická V
1016,321_6,Dejvická C
1017,321_7,Dejvická D
1019,321_9,Dejvická H
1020,321_12,Dejvická W
1021,321_13,Dejvická K
1022,321_18,Dejvická J
1023,321_21,Vítězné náměstí Q
1024,321_22,Vítězné náměstí R
1025,321_74,Dejvická R
1026,321_81,Vítězné náměstí T
1027,321_82,Vítězné náměstí U
1028,321_101,Dejvická 1
1029,321_102,Dejvická 2
1030,322_1,Lešanská A
1031,322_2,Lešanská B
1032,322_3,Lešanská C
1033,323_1,Sportovní centrum Kbely B
1034,323_3,Sportovní centrum Kbely A
1035,324_1,Letenské náměstí A
1036,324_2,Letenské náměstí B
1037,325_1,Rychnovská A
1038,325_2,Rychnovská B
1039,326_1,Staré Letňany A
1040,326_2,Staré Letňany B
1041,327_1,Toužimská A
1042,327_2,Toužimská B
1043,328_1,Lhotecký les A
1044,328_2,Lhotecký les B
1045,329_1,Lhotka A
1046,329_2,Lhotka B
1047,330_1,Libeňská A
1048,330_2,Libeňská B
1049,331_1,Libeňský most A
1050,331_2,Libeňský most B
1051,331_51,Libeňský most Z1
1053,331_52,Libeňský most Z2
1055,332_1,Střížkov A
1057,332_2,Střížkov B
1059,332_3,Střížkov C
1060,332_4,Střížkov D
1061,332_101,Střížkov 1
1062,332_102,Střížkov 2
1063,333_1,Líbeznická A
1064,333_2,Líbeznická B
1065,334_1,Libocká A
1066,334_2,Libocká B
1067,335_1,Stará Libuš A
1069,335_2,Stará Libuš B
1071,336_1,Nové náměstí A
1073,336_2,Nové náměstí B
1075,336_3,Nové náměstí C
1077,336_4,Nové náměstí D
1078,337_1,Lihovar A
1079,337_2,Lihovar B
1080,337_3,Lihovar C
1082,337_4,Lihovar D
1084,338_1,Jakobiho A
1086,338_2,Jakobiho B
1088,339_1,Lipanská A
1089,339_2,Lipanská B
1090,340_1,Lipany A
1091,340_2,Lipany B
1092,341_1,Škola Lipence A
1093,341_2,Škola Lipence B
1094,342_1,Lipnická A
1096,342_2,Lipnická B
1098,343_1,Lísek A
1099,343_2,Lísek B
1100,344_1,Litochlebské náměstí A
1102,344_2,Litochlebské náměstí B
1104,344_3,Litochlebské náměstí C
1105,344_4,Litochlebské náměstí D
1106,345_1,Katovická A
1107,345_2,Katovická B
