,stop_name,platform_code,asw_node_id,asw_stop_id,asw_ids
8899,"Kolín,Družstevní dům",A,4998,1,4998_1
8900,"Kolín,Družstevní dům",B,4998,2,4998_2
8901,"Radim,ObÚ",A,4999,1,4999_1
8902,Libodřice,A,5000,1,5000_1
8903,Libodřice,B,5000,2,5000_2
8904,Drozdov,1,5003,1,5003_1
8905,Drozdov,2,5003,2,5003_2
8906,"Drozdov,škola",1,5004,1,5004_1
8907,"Drozdov,škola",2,5004,2,5004_2
8908,Chlustina,1,5005,1,5005_1
8909,Chlustina,2,5005,2,5005_2
8910,"Chlustina,rest.",1,5006,1,5006_1
8911,"Chlustina,rest.",2,5006,2,5006_2
8912,"Žebrák,Sedlec",1,5007,1,5007_1
8913,"Žebrák,Sedlec",2,5007,2,5007_2
8914,"Zdiby,Holosmetky",1,5009,1,5009_1
8915,"Zdiby,Polní",1,5010,1,5010_1
8916,"Zdiby,Polní",2,5010,2,5010_2
8917,"Zdiby,Přemyšlení,Chaberská",1,5011,1,5011_1
8918,"Beroun,Viničná",1,5012,1,5012_1
8919,"Beroun,Viničná",2,5012,2,5012_2
8920,"Zdiby,Zlatý kopec",1,5013,1,5013_1
8921,"Zdiby,Pod Mezí",1,5014,1,5014_1
8922,"Zdiby,Pod Hájem",2,5016,2,5016_2
8923,"Zdiby,Brnky",1,5017,1,5017_1
8924,"Klokočná,náves",A,5021,1,5021_1
8925,"Benešov,Buková Lhota",A,5022,1,5022_1
8926,"Benešov,Čerčanská",A,5023,1,5023_1
8927,"Benešov,Albert",C,5024,3,5024_3
8928,"Benešov,Jiráskova Škola",A,5025,1,5025_1
8929,"Benešov,Jiráskova Gymnázium",B,5025,2,5025_2
8930,"Benešov,K Tužince",A,5027,1,5027_1
8931,"Benešov,Ke Stadionu",A,5028,1,5028_1
8932,"Benešov,Ke Stadionu",B,5028,2,5028_2
8933,"Benešov,Konopiště,informační centrum",A,5029,1,5029_1
8934,"Benešov,Konopiště,sádky",A,5031,1,5031_1
8935,"Benešov,Konopiště,sádky",B,5031,2,5031_2
8936,"Benešov,Konopiště,sv.Anna",A,5032,1,5032_1
8937,"Benešov,Konopiště,sv.Anna",B,5032,2,5032_2
8938,"Benešov,Konopiště,Šiberna",A,5033,1,5033_1
8939,"Benešov,Konopiště,Šiberna",B,5033,2,5033_2
8940,"Benešov,Mariánovice",A,5034,1,5034_1
8941,"Benešov,Neumannova",A,5039,1,5039_1
8942,"Benešov,Nezvalova",A,5041,1,5041_1
8943,"Benešov,Rubešova",A,5043,1,5043_1
8944,"Benešov,Technické služby",A,5044,1,5044_1
8945,"Benešov,Technické služby",B,5044,2,5044_2
8946,"Benešov,Tylova",A,5045,1,5045_1
8947,"Benešov,Vidlákova Lhota",A,5047,1,5047_1
8948,"Chlístov,Racek,rozc.",A,5049,1,5049_1
8949,"Chlístov,Racek,rozc.",B,5049,2,5049_2
8950,"Václavice,Zbožnice",A,5051,1,5051_1
8951,"Měcholupy,Želeč",A,5076,1,5076_1
8952,Měcholupy,A,5077,1,5077_1
8953,Měcholupy,B,5077,2,5077_2
8954,"Žatec,žel.st.",A,5079,1,5079_1
8955,"Žatec,žel.st.",B,5079,2,5079_2
8956,"Volenice,Bubovice,Zliv",A,5083,1,5083_1
8957,"Volenice,Bubovice,Zliv",B,5083,2,5083_2
8958,"Střezimíř,žel.zast.rozc.",A,5084,1,5084_1
8959,"Střezimíř,žel.zast.rozc.",B,5084,2,5084_2
8960,"Střezimíř,žel.zast.",C,5084,3,5084_3
8961,"Milovice,průmyslová zóna",A,5085,1,5085_1
8962,"Milovice,průmyslová zóna",B,5085,2,5085_2
8963,"Zvole,K Jarovu",A,5086,1,5086_1
8964,"Zvole,K Jarovu",B,5086,2,5086_2
8965,"Zlatníky-Hodkovice,Inovační",A,5087,1,5087_1
8966,"Zlatníky-Hodkovice,Na Drahách",A,5088,1,5088_1
8967,"Zlatníky-Hodkovice,Na Drahách",B,5088,2,5088_2
8968,"Statenice,u hřiště",A,5091,1,5091_1
8969,"Statenice,u hřiště",B,5091,2,5091_2
8970,"Měcholupy,Želeč,rozc.",A,5093,1,5093_1
8971,"Měcholupy,Želeč,rozc.",B,5093,2,5093_2
8972,"Rostoklaty,V Polích",1,5097,1,5097_1
8973,"Rostoklaty,V Polích",2,5097,2,5097_2
8974,"Králův Dvůr,Zahořany,Pod Hájem",1,5099,1,5099_1
8975,"Králův Dvůr,Zahořany,Pod Hájem",2,5099,2,5099_2
8976,Libeňské doky,Z1,5209,51,5209_51
8977,Libeňské doky,Z2,5209,52,5209_52
8978,Štorchova,Z2,5210,52,5210_52
8979,"Olbramovice,parcely",1,5354,1,5354_1
8980,"Olbramovice,parcely",2,5354,2,5354_2
8981,"Velké Přílepy,Podmoráňská",1,5355,1,5355_1
8982,"Velké Přílepy,Podmoráňská",2,5355,2,5355_2
8983,"Vysoký Chlumec,Hrabří,kaple Medná",A,5701,1,5701_1
8984,"Vysoký Chlumec,Hrabří,kaple Medná",B,5701,2,5701_2
8985,"Svatý Jan,rozc.",A,5702,1,5702_1
8986,"Svatý Jan,rozc.",B,5702,2,5702_2
8987,"Svatý Jan,Řadovy,Radobyl",A,5703,1,5703_1
8988,"Svatý Jan,Řadovy,Radobyl",B,5703,2,5703_2
8989,"Svatý Jan,Řadovy,Radobyl",C,5703,3,5703_3
8990,"Svatý Jan,Řadovy,Radobyl",D,5703,4,5703_4
8991,"Svatý Jan,rozc.Smrčí",A,5704,1,5704_1
8992,"Svatý Jan,rozc.Smrčí",B,5704,2,5704_2
8993,"Svatý Jan,v jedlinách",A,5705,1,5705_1
8994,"Svatý Jan,Brzina",A,5706,1,5706_1
8995,"Svatý Jan,Brzina",B,5706,2,5706_2
8996,"Svatý Jan,Drážkov",A,5707,1,5707_1
8997,"Svatý Jan,Drážkov",B,5707,2,5707_2
8998,"Svatý Jan,Hojšín",A,5708,1,5708_1
8999,"Svatý Jan,Hojšín",B,5708,2,5708_2
9000,"Svatý Jan,Hrachov",A,5710,1,5710_1
9001,"Svatý Jan,Hrachov,Vestecký most",A,5711,1,5711_1
9002,"Svatý Jan,Hrachov,Vestecký most",B,5711,2,5711_2
9003,"Svatý Jan,Řadovy",A,5712,1,5712_1
9004,"Svatý Jan,Řadovy",B,5712,2,5712_2
9005,"Svatý Jan,Skrýšov",A,5713,1,5713_1
9006,"Svatý Jan,Skrýšov",B,5713,2,5713_2
9007,"Svatý Jan,Hrachov,Zrůbek",A,5714,1,5714_1
9008,"Svatý Jan,Hrachov,Zrůbek",B,5714,2,5714_2
9009,Svojšice,A,5715,1,5715_1
9010,Svojšice,B,5715,2,5715_2
9011,"Svojšice,Kletice",A,5716,1,5716_1
9012,"Svojšice,Kletice",B,5716,2,5716_2
9013,Šetějovice,A,5717,1,5717_1
9014,Šetějovice,B,5717,2,5717_2
9015,"Šetějovice,Nechyba",A,5718,1,5718_1
9016,"Šetějovice,Nechyba",B,5718,2,5718_2
9017,"Šetějovice,Dolní Rápotice",A,5719,1,5719_1
9018,"Šetějovice,Dolní Rápotice",B,5719,2,5719_2
9019,Štětkovice,A,5720,1,5720_1
9020,Štětkovice,B,5720,2,5720_2
9021,"Štětkovice,Chrastava",A,5722,1,5722_1
9022,"Štětkovice,Chrastava",B,5722,2,5722_2
9023,Těchařovice,A,5723,1,5723_1
9024,Těchařovice,B,5723,2,5723_2
9025,"Těchařovice,Na Čmíně",A,5724,1,5724_1
9026,"Těchařovice,Na Čmíně",B,5724,2,5724_2
9027,"Těchařovice,Na Čmíně",C,5724,3,5724_3
9028,Teplýšovice,A,5725,1,5725_1
9029,Teplýšovice,B,5725,2,5725_2
9030,"Teplýšovice,Čeňovice",A,5726,1,5726_1
9031,"Teplýšovice,Čeňovice",B,5726,2,5726_2
9032,"Teplýšovice,Čeňovice,rozc.",A,5727,1,5727_1
9033,"Teplýšovice,Čeňovice,rozc.",B,5727,2,5727_2
9034,"Teplýšovice,Humenec,rozc.",A,5728,1,5728_1
9035,"Teplýšovice,Humenec,rozc.",B,5728,2,5728_2
9036,"Teplýšovice,Kochánov",A,5729,1,5729_1
9037,"Teplýšovice,Kochánov",B,5729,2,5729_2
9038,"Teplýšovice,Smilov",A,5730,1,5730_1
9039,"Teplýšovice,Smilov",B,5730,2,5730_2
9040,"Čakov,rozc.Zálesí",A,5731,1,5731_1
9041,"Čakov,rozc.Zálesí",B,5731,2,5731_2
9042,Tichonice,A,5732,1,5732_1
9043,Tichonice,B,5732,2,5732_2
9044,"Tichonice,Soušice",A,5733,1,5733_1
